Id,Category,Tweet
635769805279248384,negative,Not Available
635930169241374720,neutral,IOS 9 App Transport Security. Mm need to check if my 3rd party network pod supports it http://t.co/fmtcfUAdgj
635950258682523648,neutral,"Mar if you have an iOS device, you should download our app too: http://t.co/gl3tn2uDnD"
636030803433009153,negative,@jimmie_vanagon my phone does not run on latest IOS which may account for problem the other day .. time it was replaced
636100906224848896,positive,Not sure how to start your publication on iOS? We'll be live helping with ask me anything sessions today and Friday http://t.co/KPqqGjjh3x
636176272947744772,neutral,"Two Dollar Tuesday is here with Forklift 2, QuickKey for iOS and Suite for Pages for just $1.99 today:   http://t.co/BNMFOEACw5"
636276311560859648,neutral,"If you're not already signed up to test my iOS game, nows your chance! https://t.co/eZhIU6EDpQ"
636302400546975744,neutral,"YouTube Gaming Officially Launches On Web, Android, iOS On August 26: YouTube is finally going to r... http://t.co/qbhyA3kaWP #webseries"
636356154151575552,neutral,YouTube Gaming Launches Tomorrow with iOS and Android Apps to Go Head-to-Head with Twitch http://t.co/yZOATToeJC #ios #game
636360240921972736,neutral,@astrill Yashan from BBC @bbcchinese the VPN access on IOS may be limited during China's military parade? Any chance to have a chat on that?
636440904967061504,positive,Parkrun app for iOS downloaded Where have you been before ?Great app easier access of info &amp; ready for Saturday's run http://t.co/ZyOFhZeRIO
636484190050119681,positive,"Today @YouTubeGaming launches, with apps for iOS and Android devices in the US and UK, here is what you need to know http://t.co/Kf8DgnHX9b"
636567666048794624,positive,Got a project you want to work on? Need help with Swift? Need an excuse to hang with iOS devs on a Sat? Hang with us! http://t.co/pUWsKbDfWe
636724154260176896,positive,"Met with iOS Developer today. We may have a ""go"". 8-)"
636828460820729856,positive,#CrossSkyHigh is going IOS #saturday. For now try this http://t.co/Jrc6ktK9rT #indiedev @GamerRTer @ShoutGamers http://t.co/bkWUjKEmju
636878337105920000,positive,What's the best way to get audio recordings from a 3rd party app off of an iOS device? Jailbreaking isn't an option.
636907592036388865,positive,Five Great Free Apps and Games for iOS - August 27th Edition:  It's that time of the week again... http://t.co/QGkrIrKI28 #News #LCHBuzz
637003894611148800,neutral,"@clayrussell @Nostradamion looks interesting but I've ALWAYS ended up back on iOS keyboard, always glitches with iOS 8/9 3rd party ones"
637018128111693824,positive,"See news through the eyes of real people &amp; be your own reporter with Fresco 2.0 for iOS, coming September 8th! http://t.co/IfLPLqqsmy"
637085524683976704,positive,Siri knows all about #Apple's iOS event on the 9th. #GiveUsAHint http://t.co/sHmTw46ELR
637103428494188548,positive,"Who's ready for 0.12.1 Build 12 Tomorrow, Might be the last build till it come to iOS !"
637176985479970817,positive,"@facebook As I've been on FB for many years, I have a few hundred photo albums, but only the 1st 200 appear in the IOS app. Is that right?"
637244817974657024,positive,@Yurt try beat mp3 it may be on android i have it on ios and its fairly decent
637268613263720448,positive,@androidcentral Even though there are other differences in the IOS features this still may make people lean a little more towards Apple.
637333676099932160,neutral,Huawei Watch Pre-Order Suggests Android Wear Coming To iOS: IPhone owners who want to use Android Wear may soo... http://t.co/JQhdN5tCUV
637423522130825216,neutral,SpeedeNews: Rumor: Android Wear will soon work with iOS - Android Wear may be very close to working with iOS. That... http://t.co/pq0g0Z3eOy
637515323059646464,neutral,"Over here in NW near 11th &amp; Rhode Island, if you need a Lyft let me know !  Download the LYFT app for IOS or Android !"
637559397707874308,neutral,@NarisDRIFT @T_Dogg_94ebooks I wish that CustomFolderIcons worked on iOS 5.1.1 and it was received on December 11th.
637567051490455552,neutral,So today i checked my old iPod 4th gen which is on iOS 6.1.6 and it can't be upgraded further and i randomly open twitter
637581604253224960,negative,"@_tomcc @bartwerf please stop walking and work !! You have more than one month of late --"" The update was annonced the 29 of july, IOS wait!"
637615314897928192,positive,"@notch  Hi i have heard that they said MCPE update 0,12,0/0,12,1 will come today 29 august to ios but i cant see that there is the update:)"
637878764207214592,neutral,@Terraria_Logic do you have any news of an update in October for ios and android users
637976948124160000,neutral,"@alexdong a follow-on guess might be that if you are female, with an iOS device, visiting the site, you may have more disposable income?"
638206033639292932,positive,@tim_cook loving my new iPhone 6 from T-Mobile I'm in love with iOS! Can't wait for the Sept 9th event
638380514252992512,neutral,@M3RKMORK @MKBHD all Android wear is comparable with iOS now I believe. I may be wrong though
638407042512719873,neutral,Google Expands Android Wear Smartwatch Platform to iOS -  Google on Monday rolled out Android Wear smartwatch harmony with ...
638427398694830080,negative,"@DeltaAssist yes, I asked an attendant to print out a paper pass. But this was not the 1st time delta IOS app lost my login info. Annoying."
638429626419671040,positive,The two companies announced a partnership Monday aimed at making iOS devices and apps more compatible with... http://t.co/VeEFWrIUA9 #FF
638458599803502592,positive,@rwang0 zeroes in on the latest in a short video. Making iPhone &amp; iOS great for enterprises. 1st @IBM &amp; now @Cisco. https://t.co/pheh3U4uxE
638459896296538116,neutral,To all Nintendo fans out there; I may sound crazy when I say this but Kirby and the rainbow curse and/or Kirby canvas curse should be on iOS
